Code,isolation_forest_flag,isolation_forest_score,lof_flag,lof_score,pca_reconstruction_flag,pca_reconstruction_error,robust_mad_flag,max_abs_robust_z,n_outlier_methods_flagged,consensus_outlier_flag_2plus
178795,0,-0.07992500712645006,0,1.0337369378029115,0,0.014358671467126409,1,4.465047205322393,1,0
188653,0,-0.10042654142807717,0,1.177979929027539,0,0.052276755028505276,0,2.7508167607323046,0,0
213012,0,-0.012967458375906182,0,1.1211176774481948,0,0.014018015261819639,1,4.903255616332587,1,0
213021,0,-0.136573978671107,0,1.0035018616112603,0,0.017148186092283507,0,2.4264736294208964,0,0
443046,1,0.09977843858469682,1,2.2265661692034637,0,0.06270841875325323,1,7.159150983651009,3,1
616765,0,-0.021632430779978118,0,1.316717855186139,0,0.03790658905088459,0,2.911761927104074,0,0
3000605,0,-0.09220690450432922,0,1.2012892305544747,0,0.0477649209741376,0,2.9308306314865518,0,0
3032791,0,-0.136066302337228,0,0.9925984859455175,0,0.045826244578406485,0,1.848515185114555,0,0
3034285,0,-0.09150177107817115,0,1.1496469860353558,0,0.04367200940806331,0,2.1095678305813443,0,0
4228010,0,-0.06694214438230378,0,1.2985124504423151,0,0.08076767067778806,1,3.918114785152378,1,0
5281872,0,-0.11827894295705299,0,1.1826347631617096,1,0.15638485471957975,0,3.3658295005859,1,0
5281873,1,0.006184596818464505,0,1.1222290752440425,0,0.0697160201324707,1,4.754779461931956,2,1
5281875,0,-0.11217695544140788,0,1.0376398460981906,0,0.022529368798905016,0,2.997479859997521,0,0
5284462,1,0.035361184113333666,0,1.1490886323047098,1,0.1808113994163977,1,6.641989984118858,3,1
5361250,0,-0.1337477252793146,0,1.085990088148511,0,0.03626852362226837,1,4.039943481134197,1,0
5364079,0,-0.10192174809074145,0,1.145036844039885,0,0.04917168520060663,1,4.989429406885877,1,0
5366286,0,-0.10307435955705685,0,1.1823766608020685,0,0.025779272667879046,0,2.6213565442555478,0,0
5371560,0,-0.14888279998796855,0,0.9953714558951218,0,0.03335400089462841,0,1.4366245982387797,0,0
5372405,0,-0.15236144941449248,0,0.9726578849963158,0,0.032734804407120593,0,1.6893259470440927,0,0
5372477,0,-0.1336056902045586,0,1.0246234690250609,0,0.04482317665841927,0,2.7854435902534287,0,0
5463781,0,-0.13794587480303833,0,1.0281996512552234,0,0.04599478486293574,0,1.733613378302636,0,0
5485188,0,-0.06538561221699801,0,1.2404253612583518,0,0.03922261699633324,1,4.681384221299218,1,0
5821911,0,-0.037075930857230266,0,1.3008762088315664,0,0.15407769601600768,1,4.154400169543763,1,0
5842000,0,-0.1578288066625581,0,0.9664628393972127,0,0.02482736664468377,0,1.232465467825065,0,0
5889665,0,-0.11485032585191696,0,1.2733400479361854,0,0.033052003384775486,1,4.44275626855746,1,0
6002001,0,-0.1341751717468847,0,1.050013868690928,0,0.04378362522986426,0,1.6160582151823366,0,0
6035169,0,-0.0980739085568092,0,1.1230223781473083,0,0.06594336816948013,0,3.4193242185416985,0,0
6165177,0,-0.08482957432828969,0,1.0613868936280446,0,0.031002248995655755,1,4.520801793658173,1,0
6386307,0,-0.07706113402607317,0,1.1346662613195417,0,0.023219669074352606,1,4.0902788765030245,1,0
6434236,0,-0.09538760336766383,0,1.0895649721472025,0,0.01722678817480013,0,2.335871828412492,0,0
6435500,0,-0.10426786968678114,0,1.0835475024581378,0,0.04401505966697847,0,1.8456758702902154,0,0
